Title,CAS Number,Use(s),Date Listed,Type of Toxicity,Listing Mechanism
Abiraterone acetate,154229-18-2,A CYP17 inhibitor indicated in combination with prednisone for the treatment of patients with metastatic castration-resistant prostate cancer.,08-Apr-16,"developmental, female, male ",FR
Acephate,30560-19-1,Organophosphate foliar insecticide,,,
Acetaldehyde,75-07-0,"Chemical intermediate in the production of perfumes, resins, and dyes; fruit and fish preservative, flavoring agent, denaturant for alcohol; solvent; component of tobacco smoke",01-Apr-88,cancer,SQE
Acetamide,60-35-5,"Plasticizer, industrial solvent; component of tobacco smoke",01-Jan-90,cancer ,AB
Acetaminophen,103-90-2,Analgesic and antipyretic agent used for the relief of fever as well as aches and pains associated with many conditions,,,
Acetazolamide,59-66-5,,,,
Acetochlor,34256-82-1,Herbicide,01-Jan-89,cancer,SQE
Acetohydroxamic Acid,546-88-3,Medicine (treatment for urinary tract infections),,,
Acetoxime,127-06-0,Corrosion inhibitor; industrial intermediate,,,
2-Acetylaminofluorene,53-96-3,Research chemical (induces cancer),01-Jul-87,cancer,SQE
Acifluorfen Sodium,62476-59-9,,,,
Acrolein,107-02-8,"Biocide: aquatic herbicide, fumigant, microbiocide, molluscide (considered an alternative to methyl bromide); preparation of biological specimens; component of tobacco smoke",,,
Acrylamide,79-06-1,"Precursor to polyacrylamides used in wastewater treatment, gel electrophoresis, ore processing; chemical intermediate in dyes and fabrics; decay product of polyacrylamide in commercial herbicides; component of tobacco smoke; contaminant that forms during the baking, frying or roasting of certain plant-based foods, particularly starchy foods.",01-Jan-90,cancer,AB
Acrylamide,79-06-1,"Precursor to polyacrylamides used in wastewater treatment, gel electrophoresis, ore processing; chemical intermediate in dyes and fabrics; decay product of polyacrylamide in commercial herbicides; component of tobacco smoke; contaminant that forms during the baking, frying or roasting of certain plant-based foods, particularly starchy foods.",25-Feb-11,"developmental, male ",AB
Acrylic Acid,79-10-7,"Manufacture of plastics, polymers, paint, leather, and paper coatings; chemical intermediate in the production of acrylic esters and resins, detergents, and water treatment chemicals; component of tobacco smoke",,,
